Year,Month,Scheme_Name,No_of_Schemes,No_of_Folios,Funds_Mobilized,Redemption,Net_Inflow,AUM,AAUM
2025,August,Mid Cap Fund,31.0,23000768.0,8288.31468766,2957.69018654,5330.62450112,426623.48378171,428719.13545035
2025,August,Small Cap Fund,31.0,26635485.0,7619.26169882,2626.35211606,4992.90958276,350555.21389902,352644.66137703
2025,August,Dividend Yield Fund,10.0,1205305.0,301.51411219,476.20100412,-174.68689193,31985.92360784,32231.62898637
2025,August,Value Fund/Contra Fund,24.0,8612986.0,2576.5061277,1435.47494324,1141.03118446,198969.55748005,200275.62927067
2025,August,Focused Fund,28.0,5325168.0,2315.89845774,1160.71970081,1155.17875693,159952.07218752,160556.69104017
2025,August,Sectoral/Thematic Funds,226.0,31939915.0,10929.15524178,7035.99184984,3893.16339194,506571.70174574,508546.18455134
2025,August,ELSS,43.0,16859956.0,1522.40709039,1463.25314019,59.1539501999987,243981.85512636,246466.97808493
2025,August,Flexi Cap Fund,41.0,19838017.0,11664.64107634,3985.23929614,7679.4017802,495445.67712889,497155.7640994
2025,August,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),532.0,173231188.0,61007.83072417999,27577.46060859,33430.37011559,3308544.60900647,3325672.8761457293
2025,August,Conservative Hybrid Fund,18.0,570583.0,390.59679705,346.97811289,43.6186841599999,29268.17792339,29406.61505616
2025,August,Balanced Hybrid Fund/Aggressive Hybrid Fund,31.0,5964898.0,3519.38096432,1648.9854715,1870.39549282,236817.91054912,238877.01303871
2025,August,Dynamic Asset Allocation/Balanced Advantage Fund,35.0,5474637.0,4809.95660705,2493.47204157,2316.48456548,304727.49676332,306186.21109805
2025,August,Multi Asset Allocation Fund,30.0,3560534.0,4633.00189559,1105.0928588,3527.90903679,132103.61548318,139994.94141399
2025,August,Arbitrage Fund,33.0,681565.0,27877.67050011,21211.1697875,6666.50071261,258923.3482866,306405.4465182
2025,August,Equity Savings Fund,25.0,510097.0,2450.1994115,1581.41130438,868.788107119999,46236.22880863,49345.62131335
2025,August,Sub Total - III (i+ii+iii+iv+v+vi),172.0,16762314.0,43680.80617562,28387.10957664,15293.69659898,1008076.77781424,1070215.84843846
2025,August,Retirement Fund,29.0,3022062.0,274.7205739,140.24965792,134.47091598,31058.4351055,31359.24221839
2025,August,Childrens Fund,12.0,3130503.0,241.97477131,56.33644502,185.63832629,23924.5750218,24055.3184535
2025,August,Sub Total - IV (i+ii),41.0,6152565.0,516.6953452099999,196.58610294,320.10924227,54983.0101273,55414.56067189
2025,August,Index Funds,341.0,13953213.0,7684.61883498,6182.04889243,1502.56994255,304234.99076246,305471.68981967
2025,August,GOLD ETF,21.0,8033855.0,2334.2308077,144.7178775,2189.5129302,72495.59670494,69918.71608411
2025,August,Other ETFs,258.0,21252597.0,15315.89250985,8071.77936465,7244.11314519999,842201.47235244,846007.59189492
2025,August,Fund of funds investing overseas,52.0,1415559.0,789.70459216,289.10395736,500.6006348,31358.49413,30632.00988215
2025,August,Sub Total - V (i+ii+iii+iv),672.0,44655224.0,26124.44674469,14687.65009194,11436.79665274999,1250290.55394984,1252030.00768085
2025,August,Total A-Open ended Schemes,1746.0,248407710.0,1111983.5063416096,1059482.37155091,52501.13479070064,7493167.564912101,7645857.223105559
2025,August,Fixed Term Plan,74.0,60773.0,0.0,0.0,0.0,15106.0091603,15091.77577616
2025,August,Capital Protection Oriented Schemes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,August,Infrastructure Debt Fund,3.0,19.0,0.0,0.0,0.0,881.1804844,878.1588691
2025,August,Other Debt Scheme,1.0,184690.0,14.32,48.19,-33.87,5287.88,5358.01
2025,August,Sub Total (i+ii+iii+iv),78.0,245482.0,14.32,48.19,-33.87,21275.0696447,21327.94464526
2025,August,ELSS,15.0,255243.0,0.0,13.04429965,-13.04429965,4219.15559474,4244.9541176
2025,August,Other Equity Schemes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,August,Sub Total (i+ii),15.0,255243.0,0.0,13.04429965,-13.04429965,4219.15559474,4244.9541176
2025,August,Total B -Close ended Schemes,93.0,500725.0,14.32,61.23429965,-46.91429965,25494.22523944,25572.89876286
2025,August,Total C Interval Schemes,4.0,989.0,0.0,11.4379,-11.4379,40.7116,51.7732
2025,August,Grand Total,1843.0,248909424.0,1111997.8263416097,1059555.04375056,52442.78259105064,7518702.501751541,7671481.895068419
2023,December,Overnight Fund,35.0,840161.0,524151.44053127,529016.0446589,-4864.60412763013,75030.68365024,106097.09022655
